STYLE	QUALITY	YEAR_BUILT	GLA	BSMT	Open Porch/deck/Roof Only	COV Porch&Deck	Enclosed	Foundation	Garage	Carport
9836	4.5	2004	2236	0	NULL	856	NULL	1559	NULL	NULL
9612	1	1970	1144	0	NULL	NULL	NULL	1510	NULL	2004
9724	4	1995	1764	0	48	220	NULL	1560	NULL	NULL
9836	4.5	2004	2360	0	50	NULL	NULL	1559	NULL	NULL
9724	4	1999	2052	0	NULL	NULL	NULL	1559	NULL	NULL
9732	4	2003	2356	0	NULL	554	NULL	1559	NULL	NULL
9724	4	1995	1008	0	15	160	NULL	1559	NULL	NULL
9724	4	1997	1792	0	NULL	NULL	NULL	1559	NULL	NULL
9724	3	1974	1392	1	72	NULL	NULL	NULL	NULL	NULL
9724	4	1984	1344	0	NULL	NULL	NULL	1559	448	NULL
9836	5	2002	1976	0	1600	NULL	NULL	1559	550	NULL
9724	3.5	1985	1248	0	80	100	NULL	1560	NULL	NULL
9724	3.5	1984	1200	0	NULL	90	NULL	1510	NULL	NULL
9724	4	2003	1034	0	32	NULL	NULL	1559	NULL	NULL
9724	3.5	1981	1792	0	1020	16	NULL	1510	NULL	NULL
9724	3.5	1982	1673	0	NULL	202	NULL	1559	NULL	NULL
9612	2	1975	980	0	120	NULL	NULL	1510	NULL	NULL
9612	3.5	2008	1140	0	336	NULL	NULL	1559	NULL	NULL
9724	3.5	1985	1344	0	124	192	NULL	1507	NULL	NULL
9724	4	1999	1352	0	817	NULL	NULL	1559	NULL	NULL
9724	3	1977	1600	0	NULL	128	NULL	1560	NULL	2004
9724	3.5	1980	1440	0	NULL	NULL	208	1507	NULL	NULL
9724	4	1979	1440	0	128	NULL	NULL	1559	NULL	2005
9612	1	1969	600	0	96	NULL	NULL	1508	NULL	NULL
9836	5	2008	2783	0	NULL	26	NULL	1559	1296	NULL
9724	3.5	1979	1426	0	634	NULL	NULL	1507	NULL	2004
9612	2.5	1978	784	0	NULL	NULL	NULL	1510	NULL	NULL
9724	2.5	1971	1440	0	NULL	24	NULL	1559	NULL	NULL
9724	4	2002	1568	0	16	192	NULL	1559	NULL	2004
9724	3.5	1987	1120	0	196	144	NULL	1560	NULL	NULL
9724	4	2000	1199	0	NULL	295	NULL	1559	390	NULL
9724	4	2009	1698	0	65	200	NULL	1559	NULL	NULL
9612	1	1974	924	0	NULL	NULL	NULL	1508	NULL	NULL
9724	3.5	1992	1344	0	80	NULL	NULL	1507	NULL	NULL
9612	2	1974	840	0	NULL	NULL	NULL	1560	NULL	NULL
9724	4	2000	1767	0	578	NULL	NULL	1560	NULL	NULL
9836	4.5	2002	2074	0	36	128	NULL	1559	NULL	2004
9724	2.5	1974	1344	0	NULL	200	NULL	1559	NULL	NULL
9724	4	2001	1620	0	NULL	560	NULL	1559	NULL	2005
9724	2	1972	1440	0	30	224	NULL	1560	NULL	NULL
9724	2	1972	1152	0	NULL	NULL	100	1510	NULL	2004
9724	3.5	1972	1862	0	NULL	403	624	1513	NULL	2004
9724	3.5	1983	1056	0	64	NULL	NULL	1559	NULL	NULL
9724	4	2009	1094	0	324	142	NULL	1559	NULL	NULL
9612	3	1982	1288	0	175	72	NULL	1513	NULL	NULL
9612	2.5	1977	952	0	196	NULL	NULL	1508	NULL	NULL
9612	1	1968	768	0	NULL	64	NULL	1508	NULL	NULL
9612	3.5	1971	2440	1	NULL	120	NULL	1559	NULL	2004
9612	1	1973	1736	0	NULL	NULL	160	1508	NULL	NULL
9724	4	1994	2240	0	1698	NULL	NULL	1560	NULL	NULL
9724	3.5	1981	1904	0	64	NULL	NULL	1510	NULL	NULL
9724	4	1996	2016	0	NULL	NULL	NULL	1559	NULL	NULL
9724	2	1972	1344	0	52	NULL	63	1560	NULL	NULL
9724	3.5	1983	1750	0	140	516	NULL	1559	NULL	2004
9724	4	1996	2052	0	24	360	NULL	1560	NULL	NULL
9612	2	1973	924	0	160	112	NULL	1510	NULL	NULL
9724	2.5	1975	1152	0	546	60	24	1560	NULL	2004
9612	1	1970	1093	0	160	400	NULL	1510	NULL	NULL
9724	2.5	1973	1560	0	24	128	NULL	1559	NULL	NULL
9724	2.5	1976	1344	0	24	NULL	NULL	1559	NULL	NULL
9724	2	1971	1560	0	436	160	NULL	1560	NULL	NULL
9724	2.5	1971	1440	0	NULL	172	NULL	1559	NULL	NULL
9724	4	2011	2280	0	NULL	NULL	NULL	1559	NULL	NULL
9612	1	1972	1048	0	NULL	128	NULL	1510	NULL	NULL
9724	3.5	1985	1904	0	NULL	NULL	NULL	NULL	NULL	NULL
9724	4	2001	1904	0	128	NULL	NULL	1559	NULL	NULL
9830	4.5	2011	2280	1	1400	NULL	NULL	NULL	NULL	NULL
9612	2.5	1973	1136	0	NULL	NULL	NULL	1510	NULL	2004
9724	4.5	1998	2041	0	NULL	NULL	NULL	1559	NULL	NULL
9724	3.5	1982	1344	0	NULL	144	NULL	1560	NULL	NULL
9724	3	1978	864	0	864	NULL	NULL	1507	NULL	NULL
9614	3.5	1996	868	0	240	NULL	NULL	1507	NULL	2005
9728	4	1992	1960	0	264	378	NULL	1507	NULL	NULL
9724	5	2002	2202	0	NULL	NULL	NULL	1559	NULL	NULL
9612	1	1976	980	0	NULL	420	NULL	NULL	NULL	NULL
9724	4.5	1996	1742	0	NULL	240	NULL	1507	NULL	NULL
9724	4	1981	1932	0	NULL	NULL	NULL	1559	NULL	NULL
9724	3	1985	960	0	NULL	NULL	NULL	1510	NULL	NULL
9724	4	2002	2128	0	NULL	NULL	NULL	1559	NULL	NULL
9612	2	1971	910	0	NULL	NULL	160	1510	NULL	NULL
9612	1	1975	980	0	100	NULL	100	1510	NULL	NULL
9612	1	1971	980	0	NULL	NULL	64	1510	NULL	NULL
9724	3	1980	1440	0	NULL	56	NULL	1507	NULL	NULL
9724	4	1996	2072	0	36	NULL	NULL	1559	576	NULL
9724	3.5	1984	1680	0	20	NULL	88	1559	NULL	NULL
9724	4	1996	2592	0	NULL	672	NULL	1559	NULL	2005
9724	4	2000	2052	0	580	486	NULL	1559	NULL	NULL
9724	4	1999	1960	0	36	192	NULL	1559	NULL	NULL
9724	4	2001	1144	0	496	NULL	NULL	1559	NULL	NULL
9724	3.5	1973	1440	1	NULL	NULL	NULL	NULL	NULL	NULL
9724	3	1975	2475	0	NULL	115	NULL	1559	528	NULL
9724	4	2010	1404	0	100	NULL	80	1559	NULL	NULL
9724	3.5	1979	1440	0	195	NULL	NULL	1510	NULL	NULL
9724	2	1974	1410	0	344	NULL	NULL	1510	NULL	NULL
9724	2	1970	1152	0	128	NULL	128	1507	NULL	NULL
9724	4	2005	1179	0	20	168	NULL	1559	NULL	NULL
9724	3.5	1988	1754	0	NULL	768	NULL	1510	NULL	NULL
9724	3.5	1982	1840	0	NULL	528	NULL	1559	NULL	NULL
9724	3.5	1992	1540	0	176	110	NULL	1510	NULL	NULL
9724	2	1974	1440	0	132	156	NULL	1511	NULL	NULL
9612	1	1965	500	0	NULL	NULL	64	1510	NULL	NULL
9724	4	1988	2305	0	242	320	59	1559	NULL	2004
9724	4	2002	1560	0	240	NULL	NULL	1559	NULL	NULL
9724	3.5	1985	1248	0	40	300	NULL	1510	NULL	NULL
9724	3	1975	1440	0	144	152	NULL	1559	NULL	2004
9724	3.5	1994	1960	0	NULL	NULL	NULL	1560	NULL	NULL
9724	2	1972	1616	0	120	225	NULL	1510	NULL	NULL
9836	4.5	2003	1651	0	512	416	NULL	1559	NULL	NULL
9724	3.5	1995	1152	0	NULL	468	NULL	1507	NULL	NULL
9612	3	1998	980	0	NULL	NULL	NULL	NULL	NULL	NULL
9724	3	1980	1152	0	304	200	NULL	1512	NULL	NULL
9724	4	1997	1864	0	NULL	620	NULL	1560	NULL	NULL
9612	1	1974	1332	0	192	60	80	1507	NULL	NULL
9724	3.5	1983	2032	0	NULL	NULL	64	1559	NULL	NULL
9724	3.5	1990	1080	0	92	NULL	NULL	1560	NULL	NULL
9724	3	1973	1422	0	NULL	306	NULL	1559	564	NULL
9724	4	1973	5725	0	693	590	NULL	1559	NULL	2005
9612	1	1970	660	0	NULL	NULL	64	1510	NULL	NULL
9724	2.5	1972	1680	0	NULL	NULL	80	1559	NULL	NULL
9724	3	1983	1440	0	320	NULL	NULL	1560	NULL	NULL
9724	3.5	1979	1440	0	25	120	NULL	1559	NULL	NULL
9724	3	1981	1848	0	NULL	180	NULL	1560	NULL	NULL
9612	1	1972	792	0	100	NULL	NULL	1510	NULL	NULL
9724	2	1972	1456	0	NULL	NULL	NULL	1507	NULL	NULL
9724	4	1999	1782	0	2208	NULL	NULL	1559	NULL	NULL
9612	1	1972	672	0	NULL	NULL	NULL	NULL	NULL	NULL
9724	3.5	1988	1540	0	NULL	NULL	NULL	1510	NULL	NULL
9848	5	2006	3358	0	2156	600	NULL	1559	750	NULL
9724	3.5	1980	1440	0	192	144	NULL	1560	NULL	NULL
9724	2.5	1972	2370	0	15	NULL	NULL	1560	672	NULL
9724	4	2007	1456	0	NULL	872	70	1559	NULL	NULL
9724	4	2010	2100	0	249	420	NULL	1559	NULL	NULL
9724	2.5	1974	1960	0	240	256	NULL	1559	NULL	NULL
9724	2.5	1974	1828	0	644	112	NULL	1559	574	NULL
9612	2.5	1983	980	0	60	288	NULL	1560	NULL	NULL
9612	1	1973	1176	0	NULL	NULL	NULL	1510	NULL	NULL
9612	2.5	1982	728	0	NULL	NULL	NULL	1510	NULL	NULL
9724	3.5	1982	1512	0	25	112	NULL	1510	NULL	NULL
9724	3	1978	1344	0	738	NULL	NULL	1512	NULL	NULL
9724	4	1995	1632	0	332	NULL	NULL	1559	NULL	NULL
9724	4.5	2006	960	0	1220	NULL	NULL	1559	NULL	2004
9612	1	1976	1411	0	518	NULL	NULL	1510	NULL	NULL
9612	1	1970	784	0	25	NULL	NULL	1510	NULL	NULL
9724	4	1994	1232	0	60	873	NULL	1559	616	NULL
9724	3.5	1979	1904	0	NULL	420	NULL	1560	NULL	NULL
